2024-02-26 17:01:52.609172:Configuration: {
  "url": "http://localhost:3000/",
  "delay": 0.5,
  "interactions": 100,
  "load_wait_time": 10,
  "test_type": "gpt-4-turbo-preview",
  "output_dir": "results"
}
2024-02-26 17:01:52.609188:Starting the test on URL: http://localhost:3000/
2024-02-26 17:01:59.299536:Web page loaded successfully.
2024-02-26 17:02:00.638796:Pre test coverage data: namespace(covered=33, blocks=98, percentage=0.336734693877551)
2024-02-26 17:02:00.638810:Opened website. | Coverage: 33.6734693877551%
2024-02-26 17:02:04.065739:Action 1: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 35.714285714285715%
2024-02-26 17:02:08.162298:Action 2: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-galaxy" class="" href="#/c/galaxy">Galaxy</a>' | Coverage: 35.714285714285715%
2024-02-26 17:02:23.638148:Action 3: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:rc:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 41.83673469387755%
2024-02-26 17:02:28.584698:Action 4: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 52.04081632653062%
2024-02-26 17:02:33.528311:Action 5: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":ri:" class="remove-item on-click">remove</span>' | Coverage: 54.08163265306123%
2024-02-26 17:02:39.605485:Action 6: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 56.12244897959183%
2024-02-26 17:02:44.592341:Action 7: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"></div><div class="cart-footer"><h3>your total: <span class="cart-total">$0.00</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 56.12244897959183%
2024-02-26 17:02:51.727634:Action 8: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 56.12244897959183%
2024-02-26 17:02:57.945981:Action 9: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 56.12244897959183%
2024-02-26 17:03:03.467183:Action 10: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 56.12244897959183%
2024-02-26 17:03:08.653216:Action 11: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 56.12244897959183%
2024-02-26 17:03:13.861260:Action 12: Gpt-4-turbo-preview tester executiong: 'action: send_keys(John) element: <input type="text" id=":rl:" class="" value="">' | Coverage: 60.204081632653065%
2024-02-26 17:03:19.308734:Action 13: Gpt-4-turbo-preview tester executiong: 'action: send_keys(Doe) element: <input type="text" id=":rm:" class="" value="">' | Coverage: 60.204081632653065%
2024-02-26 17:03:24.209981:Action 14: Gpt-4-turbo-preview tester executiong: 'action: send_keys(john.doe@example.com) element: <input type="text" id=":rn:" class="" value="">' | Coverage: 67.3469387755102%
2024-02-26 17:03:28.773658:Action 15: Gpt-4-turbo-preview tester executiong: 'action: send_keys(USA) element: <input type="text" id=":ro:" class="" value="">' | Coverage: 67.3469387755102%
