2024-02-26 13:16:51.138239:Configuration: {
  "url": "http://localhost:3000/",
  "delay": 0.5,
  "interactions": 100,
  "load_wait_time": 10,
  "test_type": "monkey",
  "output_dir": "results"
}
2024-02-26 13:16:51.138250:Starting the test on URL: http://localhost:3000/
2024-02-26 13:16:57.662676:Web page loaded successfully.
2024-02-26 13:16:59.219837:Pre test coverage data: namespace(covered=33, blocks=98, percentage=0.336734693877551)
2024-02-26 13:16:59.219855:Opened website. | Coverage: 33.6734693877551%
2024-02-26 13:17:01.796594:Action 1: Monkey tester executiong: 'action: click element: <button id="2:r4:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 39.795918367346935%
2024-02-26 13:17:05.722607:Action 2: Monkey tester executiong: 'action: click element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 39.795918367346935%
2024-02-26 13:17:09.279859:Action 3: Monkey tester executiong: 'action: click element: <button id="3:r4:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 39.795918367346935%
2024-02-26 13:17:12.835201:Action 4: Monkey tester executiong: 'action: click element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 50.0%
2024-02-26 13:17:16.160636:Action 5: Monkey tester executiong: 'action: send_keys(49L7) element: <input type="text" id=":rp:" class="" value="">' | Coverage: 54.08163265306123%
2024-02-26 13:17:19.349996:Action 6: Monkey tester executiong: 'action: click element: <i id=":rk:" class="fas fa-chevron-up on-click"></i>' | Coverage: 57.14285714285714%
2024-02-26 13:17:22.332866:Action 7: Monkey tester executiong: 'action: send_keys(g7kF) element: <input type="text" id=":rs:" class="" value="">' | Coverage: 57.14285714285714%
2024-02-26 13:17:25.795667:Action 8: Monkey tester executiong: 'action: click element: <button id=":ri:" type="submit">Submit</button>' | Coverage: 63.26530612244898%
2024-02-26 13:17:28.775708:Action 9: Monkey tester executiong: 'action: click element: <i id=":rl:" class="fas fa-chevron-down on-click"></i>' | Coverage: 68.36734693877551%
2024-02-26 13:17:31.946752:Action 10: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 70.40816326530613%
2024-02-26 13:17:35.442942:Action 11: Monkey tester executiong: 'action: clear element: <input type="text" id=":rp:" class="" value="49L7">' | Coverage: 70.40816326530613%
2024-02-26 13:17:39.522442:Action 12: Monkey tester executiong: 'action: send_keys(Y0OP) element: <input type="text" id=":rq:" class="" value="">' | Coverage: 75.51020408163265%
2024-02-26 13:17:42.840386:Action 13: Monkey tester executiong: 'action: click element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 75.51020408163265%
2024-02-26 13:17:46.069921:Action 14: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">1</div></div>' | Coverage: 77.55102040816327%
